URL	Title	Provider	Ratings	Reviews
https://www.coursera.org/learn/code-free-data-science	Code Free Data Science	University of California San Diego	46	4.3
https://www.coursera.org/learn/introduction-clinical-data-science	Introduction to Clinical Data Science	University of Colorado System	227	4.7
https://www.coursera.org/learn/what-is-datascience	What is Data Science?	IBM	38,328	4.7
https://www.coursera.org/learn/the-data-science-of-health-informatics	The Data Science of Health Informatics	Johns Hopkins University	93	4.7
https://www.coursera.org/learn/spatial-data-science	Spatial Data Science and Applications	Yonsei University	270	4.4
https://www.coursera.org/learn/data-science-methodology	Data Science Methodology	IBM	14,461	4.6
https://www.coursera.org/learn/datasciencemathskills	Data Science Math Skills	Duke University	7,186	4.5
https://www.coursera.org/learn/sql-data-science	Databases and SQL for Data Science	IBM	11,656	4.7
https://www.coursera.org/learn/data-science-for-business-innovation	Data Science for Business Innovation	EIT Digital	65	4.1
https://www.coursera.org/learn/python-for-data-science	Python для анализа данных	Moscow Institute of Physics and Technology	69	4.5
https://www.coursera.org/learn/open-source-tools-for-data-science	Tools for Data Science	IBM	18,839	4.5
https://www.coursera.org/learn/data-science-k-means-clustering-python	Foundations of Data Science: K-Means Clustering in Python	University of London	211	4.7
https://www.coursera.org/learn/executive-data-science-capstone	Executive Data Science Capstone	Johns Hopkins University	1,328	4.7
https://www.coursera.org/learn/competitive-data-science	How to Win a Data Science Competition: Learn from Top Kagglers	National Research University Higher School of Economics	936	4.7
https://www.coursera.org/learn/advanced-data-science-capstone	Advanced Data Science Capstone	IBM	316	4.6
https://www.coursera.org/learn/applied-data-science-capstone	Applied Data Science Capstone	IBM	4,525	4.7
https://www.coursera.org/learn/real-life-data-science	Data Science in Real Life	Johns Hopkins University	1,997	4.4
https://www.coursera.org/learn/data-science-ethics	Data Science Ethics	University of Michigan	428	4.8
https://www.coursera.org/learn/build-data-science-team	Building a Data Science Team	Johns Hopkins University	2,907	4.5
https://www.coursera.org/learn/intro-data-science-programacion-estadistica-r	Introducción a Data Science: Programación Estadística con R	Universidad Nacional Autónoma de México	5,564	4.7
https://www.coursera.org/learn/python-for-applied-data-science-ai	Python for Data Science and AI	IBM	18,088	4.6
https://www.coursera.org/learn/data-science-project	Data Science Capstone	Johns Hopkins University	1,028	4.5
https://www.coursera.org/learn/sql-for-data-science	SQL for Data Science	University of California, Davis	6,295	4.6
https://www.coursera.org/learn/data-science-course	A Crash Course in Data Science	Johns Hopkins University	6,518	4.5
Not found	Not found	Not found	Not found	
https://www.coursera.org/learn/genomic-data-science-project	Genomic Data Science Capstone	Johns Hopkins University	46	4.6
